onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
812	3	203.0	71	5	B	0	3.0	3	True	3	8	1	1	3/32	True	1	27	70	25	25b	4	203/2	False	True					False	162		V7/v	e	i		V7/v	V		7		v	Mm7	True	True	(2, 6, 3, 0)	()	2	2	minor	minor	i	i, minor	V/v	v	v/i	v	True	V7/v	V7/v, minor		V7/v, minor	v	v	V7	5	5	4	4	5	6	6	F#	F#	E	B	dominant seventh chord	7	True	True	True	True	True	1	1	0	5	False	False	False
815	1	203.75	73	7	C	1	3.75	0	False	3	8	1	1	1/32	True	1	27	70	25	25b	5	815/8	False	False					False	162		V7/v	e	i		V7/v	V		7		v	Mm7	True	True	(2, 6, 3, 0)	()	2	2	minor	minor	i	i, minor	V/v	v	v/i	v	True	V7/v	V7/v, minor		V7/v, minor	v	v	V7	5	5	4	4	5	6	6	F#	F#	E	B	dominant seventh chord	7	True	True	True	True	True	3	3	2	#6	True	False	False
816	0	204.0	72	0	C	0	1.0	1	True	3	8	1	1	0	True	1	28	71	26	26b	5	102	False	True					False	163		v	e	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		4	4	4	5	5	B	B	E	E	minor triad	0	True	True	True	True	True	-4	-4	-4	6	False	False	False
816	4	204.0	47	5	B	0	1.0	1	True	3	8	2	1	1/8	True	1	28	71	26	26b	2	102	False	True					False	163		v	e	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		4	4	4	5	5	B	B	E	E	minor triad	0	True	True	True	True	True	1	1	1	5	True	True	True
816	12	204.0	74	2	D	0	1.0	1	True	3	8	1	1	3/8	True	1	28	71	26	26b	5	102	False	True					False	163		v	e	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		4	4	4	5	5	B	B	E	E	minor triad	0	True	True	True	True	True	-2	-2	-2	7	True	False	False
820	4	205.0	59	5	B	0	2.0	2	True	3	8	2	1	1/8	True	1	28	71	26	26b	3	205/2	False	False					False	163		v	e	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		4	4	4	5	5	B	B	E	E	minor triad	0	True	True	True	True	True	1	1	1	5	True	True	True
824	4	206.0	57	3	A	0	3.0	3	True	3	8	2	1	1/8	True	1	28	71	26	26b	3	103	False	False					False	163		v	e	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		4	4	4	5	5	B	B	E	E	minor triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
828	8	207.0	55	1	G	0	1.0	1	True	3	8	2	1	1/4	True	1	29	72	27	27b	3	207/2	False	True					False	164		III+M7	e	i		III+M7	III	+M	7			+M7	True	True	(-3, 1, 5, 2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III+M7	III+M7, minor		III+M7, minor		III	III+7	3		4	4	4	1	1	G	G	E	E	augmented major tetrachord	7	True	True	True	True	True	-3	-3	-3	3	True	True	True
830	2	207.5	75	9	D	1	1.5	0	False	3	8	1	1	1/16	True	1	29	72	27	27b	5	415/4	False	False					False	164		III+M7	e	i		III+M7	III	+M	7			+M7	True	True	(-3, 1, 5, 2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III+M7	III+M7, minor		III+M7, minor		III	III+7	3		4	4	4	1	1	G	G	E	E	augmented major tetrachord	7	True	True	True	True	True	5	5	5	#7	True	False	False
832	4	208.0	75	9	D	1	2.0	2	True	3	8	1	1	1/8	True	1	29	72	27	27b	5	104	False	False					False	164		III+M7	e	i		III+M7	III	+M	7			+M7	True	True	(-3, 1, 5, 2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III+M7	III+M7, minor		III+M7, minor		III	III+7	3		4	4	4	1	1	G	G	E	E	augmented major tetrachord	7	True	True	True	True	True	5	5	5	#7	True	False	False
